Name,Oracle,Trigger 1,Trigger 2,Trigger 3,Trigger 4,Trigger 5
Abandon Hope,"As an additional cost to cast Abandon Hope, discard X cards.    Look at target opponent's hand and choose X cards from it.  That player discards those cards.",,,,,
Abandoned Outpost,"Abandoned Outpost enters the battlefield tapped.    T: Add W to your mana pool.    T, Sacrifice Abandoned Outpost: Add one mana of any color to your mana pool.",,,,,
Abattoir Ghoul,"First strike.    Whenever a creature dealt damage by Abattoir Ghoul this turn dies, you gain life equal to that creature's toughness.",Lapsing,,,,
Abbey Gargoyles,"Flying, protection from red",,,,,
Abbey Griffin,"Flying, vigilance",,,,,
Abbey Matron,"W, T: Abbey Matron gets +0/+3 until end of turn.",,,,,
Abduction,"Enchant creature.    When Abduction enters the battlefield, untap enchanted creature.    You control enchanted creature.    When enchanted creature dies, return that card to the battlefield under its owner's control.",Lapsing,Mandatory,,,
Abeyance,"Until end of turn, target player can't cast instant or sorcery spells, and that player can't activate abilities that aren't mana abilities.    Draw a card.",,,,,
Abjure,"As an additional cost to cast Abjure, sacrifice a blue permanent.    Counter target spell.",,,,,
Abolish,You may discard a Plains card rather than pay Abolish's mana cost.    Destroy target artifact or enchantment.,,,,,
Abomination,"Whenever Abomination blocks or becomes blocked by a green or white creature, destroy that creature at end of combat.",No visual effect,Lapsing,,,
Aboroth,Cumulative upkeep - Put a -1/-1 counter on Aboroth.,Mandatory,,,,
"Aboshan, Cephalid Emperor",Tap an untapped Cephalid you control: Tap target permanent.    UUU: Tap all creatures without flying.,,,,,
Aboshan's Desire,Enchant creature.    Enchanted creature has flying.    Threshold - Enchanted creature has shroud as long as seven or more cards are in your graveyard.,,,,,
About Face,Switch target creature's power and toughness until end of turn.,,,,,
Absolute Grace,All creatures have protection from black.,,,,,
Absolute Law,All creatures have protection from red.,,,,,
Absolver Thrull,"Haunt.    When Absolver Thrull enters the battlefield or the creature it haunts dies, destroy target enchantment.",Mandatory,Lapsing,,,
Absorb,Counter target spell.  You gain 3 life.,,,,,
Absorb Vis,Target player loses 4 life and you gain 4 life.    Basic landcycling 1B,,,,,
Abu Ja'far,"When Abu Ja'far dies, destroy all creatures blocking or blocked by it.  They can't be regenerated.",Lapsing,,,,
Abuna Acolyte,T: Prevent the next 1 damage that would be dealt to target creature or player this turn.    T: Prevent the next 2 damage that would be dealt to target artifact creature this turn.,,,,,
Abuna's Chant,Choose one - You gain 5 life; or prevent the next 5 damage that would be dealt to target creature this turn.    Entwine 2,,,,,
Abundance,"If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind.  Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.",,,,,
Abundant Growth,"Enchant land.    When Abundant Growth enters the battlefield, draw a card.    Enchanted land has ""T: Add one mana of any color to your mana pool.""",Mandatory,,,,
Abyssal Gatekeeper,"When Abyssal Gatekeeper dies, each player sacrifices a creature.",Mandatory,,,,
Abyssal Horror,"Flying.    When Abyssal Horror enters the battlefield, target player discards two cards.",Lapsing,,,,
Abyssal Hunter,"B, T: Tap target creature.  Abyssal Hunter deals damage equal to Abyssal Hunter's power to that creature.",,,,,
Abyssal Nightstalker,"Whenever Abyssal Nightstalker attacks and isn't blocked, defending player discards a card.",Lapsing,,,,
Abyssal Nocturnus,"Whenever an opponent discards a card, Abyssal Nocturnus gets +2/+2 and gains fear until end of turn.",No visual effect,,,,
Abyssal Persecutor,"Flying, trample.    You can't win the game and your opponents can't lose the game.",,,,,
Abyssal Specter,"Flying.    Whenever Abyssal Specter deals damage to a player, that player discards a card.",Lapsing,,,,
Academy Rector,"When Academy Rector dies, you may exile it.  If you do, search your library for an enchantment card, put that card onto the battlefield, then shuffle your library.",Optional,,,,
Academy Researchers,"When Academy Researchers enters the battlefield, you may put an Aura card from your hand onto the battlefield attached to Academy Researchers.",Optional,,,,
Academy Ruins,"T: Add 1 to your mana pool.    1U, T: Put target artifact card from your graveyard on top of your library.",,,,,
Accelerate,Target creature gains haste until end of turn.    Draw a card.,,,,,
Accelerated Mutation,"Target creature gets +X/+X until end of turn, where X is the highest converted mana cost among permanents you control.",,,,,
Acceptable Losses,"As an additional cost to cast Acceptable Losses, discard a card at random.    Acceptable Losses deals 5 damage to target creature.",,,,,
Accorder Paladin,Battle cry,No visual effect,,,,
Accorder's Shield,Equipped creature gets +0/+3 and has vigilance.    Equip 3,,,,,
Accumulated Knowledge,"Draw a card, then draw cards equal to the number of cards named Accumulated Knowledge in all graveyards.",,,,,
Accursed Centaur,"When Accursed Centaur enters the battlefield, sacrifice a creature.",Mandatory,,,,
Acid Rain,Destroy all Forests.,,,,,
Acid Web Spider,"Reach.    When Acid Web Spider enters the battlefield, you may destroy target Equipment.",Optional,,,,
Acidic Dagger,"4, T: Whenever target creature deals combat damage to a non-Wall creature this turn, destroy that non-Wall creature.  When the targeted creature leaves the battlefield this turn, sacrifice Acidic Dagger.  Activate this ability only before blockers are declared.",Mandatory,,,,
Acidic Slime,"Deathtouch.    When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.",Lapsing,,,,
Acidic Sliver,"All Slivers have ""2, Sacrifice this permanent: This permanent deals 2 damage to target creature or player.""",,,,,
Acidic Soil,Acidic Soil deals damage to each player equal to the number of lands he or she controls.,,,,,
Acolyte of Xathrid,"1B, T: Target player loses 1 life.",,,,,
Acorn Catapult,"1, T: Acorn Catapult deals 1 damage to target creature or player.  That creature's controller or that player puts a 1/1 green Squirrel creature token onto the battlefield.",,,,,
Acorn Harvest,"Put two 1/1 green Squirrel creature tokens onto the battlefield.    Flashback - 1G, Pay 3 life.",,,,,
Acquire,Search target opponent's library for an artifact card and put that card onto the battlefield under your control.  Then that player shuffles his or her library.,,,,,
Acridian,Echo 1G,Mandatory,,,,
Act of Aggression,Gain control of target creature an opponent controls until end of turn.  Untap that creature.  It gains haste until end of turn.,,,,,
Act of Treason,Gain control of target creature until end of turn.  Untap that creature.  It gains haste until end of turn.,,,,,
Active Volcano,Choose one - Destroy target blue permanent; or return target Island to its owner's hand.,,,,,
Ad Nauseam,Reveal the top card of your library and put that card into your hand.  You lose life equal to its converted mana cost.  You may repeat this process any number of times.,,,,,
"Adamaro, First to Desire","Adamaro, First to Desire's power and toughness are each equal to the number of cards in the hand of the opponent with the most cards in hand.",,,,,
Adaptive Automaton,"As Adaptive Automaton enters the battlefield, choose a creature type.    Adaptive Automaton is the chosen type in addition to its other types.    Other creatures you control of the chosen type get +1/+1.",,,,,
Adarkar Sentinel,1: Adarkar Sentinel gets +0/+1 until end of turn.,,,,,
Adarkar Unicorn,T: Add U or 1U to your mana pool.  Spend this mana only to pay cumulative upkeep costs.,,,,,
Adarkar Valkyrie,"Flying, vigilance.    T: When target creature other than Adarkar Valkyrie dies this turn, return that card to the battlefield under your control.",Lapsing,,,,
Adarkar Wastes,T: Add 1 to your mana pool.    T: Add W or U to your mana pool.  Adarkar Wastes deals 1 damage to you.,,,,,
Adarkar Windform,Flying.    1S: Target creature loses flying until end of turn.,,,,,
Adder-Staff Boggart,"When Adder-Staff Boggart enters the battlefield, clash with an opponent.  If you win, put a +1/+1 counter on Adder-Staff Boggart.",Mandatory,,,,
Addle,Choose a color.  Target player reveals his or her hand and you choose a card of that color from it.  That player discards that card.,,,,,
Admonition Angel,"Flying.    Landfall - Whenever a land enters the battlefield under your control, you may exile target nonland permanent other than Admonition Angel.    When Admonition Angel leaves the battlefield, return all cards exiled with it to the battlefield under their owners' control.",Optional,Mandatory,,,
Adun Oakenshield,"BRG, T: Return target creature card from your graveyard to your hand.",,,,,
Advance Scout,First strike.    W: Target creature gains first strike until end of turn.,,,,,
Advanced Hoverguard,Flying.    U: Advanced Hoverguard gains shroud until end of turn.,,,,,
Adventurer's Guildhouse,"Green legendary creatures you control have ""bands with other legendary creatures.""",,,,,
Adventuring Gear,"Landfall - Whenever a land enters the battlefield under your control, equipped creature gets +2/+2 until end of turn.    Equip 1",No visual effect,,,,
Advice from the Fae,"Look at the top five cards of your library.  If you control more creatures than each other player, put two of those cards into your hand.  Otherwise, put one of them into your hand.  Then put the rest on the bottom of your library in any order.",,,,,
Aegis Angel,"Flying.    When Aegis Angel enters the battlefield, another target permanent is indestructible for as long as you control Aegis Angel.",Lapsing,,,,
Aegis of Honor,"1: The next time an instant or sorcery spell would deal damage to you this turn, that spell deals that damage to its controller instead.",,,,,
Aegis of the Meek,"1, T: Target 1/1 creature gets +1/+2 until end of turn.",,,,,
Aeolipile,"1, T, Sacrifice Aeolipile: Aeolipile deals 2 damage to target creature or player.",,,,,
Aeon Chronicler,"Aeon Chronicler's power and toughness are each equal to the number of cards in your hand.    Suspend X - X3U.  X can't be 0.    Whenever a time counter is removed from Aeon Chronicler while it's exiled, draw a card.",Mandatory,Mandatory,Mandatory,,
Ærathi Berserker,Rampage 3,No visual effect,,,,
Aerial Caravan,"Flying.    1UU: Exile the top card of your library.  Until end of turn, you may play that card.",,,,,
Aerie Mystics,Flying.    1GU: Creatures you control gain shroud until end of turn.,,,,,
Aerie Ouphes,Sacrifice Aerie Ouphes: Aerie Ouphes deals damage equal to its power to target creature with flying.    Persist.,Lapsing,,,,
Aesthir Glider,Flying.    Aesthir Glider can't block.,,,,,
